img_urls,titles,ratings,authors,details
https://img3.doubanio.com/view/subject/m/public/s29779230.jpg,大雪将至,9.1,[奥地利]罗伯特•泽塔勒/南海出版公司/2018-6,2011年德国格林美尔斯豪森奖获奖作品，并入围2016年布克国际奖终选短名单。轻盈而丰满地描写了一个小人物的大感情。
https://img1.doubanio.com/view/subject/m/public/s29774838.jpg,绿毛水怪,9.5,王小波/北京十月文艺出版社/2018-6,王小波短篇小说集，其中同名小说《绿毛水怪》是王小波小说处女作。
https://img3.doubanio.com/view/subject/m/public/s29797724.jpg,惊爆点,评价人数不足,[日]松本大洋等编绘/后浪丨湖南美术出版社/2018-8,法国人联社创立40周年之际，邀请了14位来自欧亚美的当代漫画大师以“惊爆点”（原意为一切倾覆的那天）为命题进行自由创作。
https://img3.doubanio.com/view/subject/m/public/s29796113.jpg,双峰：最终档案,,[美]马克·弗罗斯特/北京时代华文书局/2018-7-7,同名美剧衍生作品。现在，你就是联邦调查局局长，坐拥18份下属递交的FBI绝密档案资料。
https://img3.doubanio.com/view/subject/m/public/s29796856.jpg,我的奋斗2,8.9,[挪威]卡尔·奥韦·克瑙斯高/理想国丨上海三联书店/2018-6,挪威作家卡尔·奥韦·克瑙斯高的自传体小说《我的奋斗》第二部。书中用流水笔调记叙平凡生活，直白坦诚，有着“自虐般的真实和琐碎”。
https://img3.doubanio.com/view/subject/m/public/s29793036.jpg,鞑靼人沙漠,评价人数不足,[意]迪诺·布扎蒂/后浪丨四川人民出版社/2018-8,本书为迪诺·布扎蒂赢得了“意大利的卡夫卡”之美誉。入选博尔赫斯《私人藏书》、法国《理想藏书》、《世界报》20世纪百本好书。
https://img1.doubanio.com/view/subject/m/public/s29791467.jpg,月鱼,评价人数不足,[日]三浦紫苑/北京联合出版公司/2018-6,直木奖得主、书店大奖得主三浦紫苑作品，讲述两个年轻人如何重拾友谊的故事。
https://img3.doubanio.com/view/subject/m/public/s29793566.jpg,睡魔4：迷雾季节,评价人数不足,[英]尼尔·盖曼等编绘/后浪丨北京联合出版公司/2018-8,美国奇幻大师尼尔·盖曼的成名之作，DC宇宙中强大而神秘的无尽家族的一员。
https://img1.doubanio.com/view/subject/m/public/s29775868.jpg,情书,9.5,岩井俊二/南海出版公司/2018-6-1,《情书》是作家岩井俊二的长篇小说代表作，也是经典电影《情书》原著。
https://img3.doubanio.com/view/subject/m/public/s29770130.jpg,假面之夜,7.8,[日]东野圭吾/南海出版公司/2018-6,年轻女性惨遭杀害横尸家中，一通匿名举报热线，一封来历不明的告密信……假面舞会上，凶手能否现身？告密者目的何在？
https://img1.doubanio.com/view/subject/m/public/s29780779.jpg,复仇者,9.2,[挪威]尤·奈斯博/博集天卷|湖南文艺出版社/2018-6-20,被当作人质的银行女职员在临死之前，竟然向劫匪忏悔：“都是我的错。”北欧悬疑小说大师尤•奈斯博烧脑之作。
https://img1.doubanio.com/view/subject/m/public/s29771608.jpg,谁杀了她,7.9,(日)东野圭吾/北京十月文艺出版社/2018-6,两个目的不同的人同时探究真相，一人破坏现场，另一人在破坏的基础上找寻答案。终于，康正说“答案已经揭晓”，在这一瞬间加贺也明白了真相。
https://img1.doubanio.com/view/subject/m/public/s29793447.jpg,向邪恶追索,评价人数不足,[美]劳伦斯·布洛克/后浪丨四川人民出版社/2018-8,马修•斯卡德这次的当事人是让儿童杀手恢复自由的律师，他正被威尔点名，下一个被“人民的意志”处决的就是他……硬汉派侦探小说大师劳伦斯•布洛克作品。
https://img1.doubanio.com/view/subject/m/public/s29786258.jpg,下雨时蔷薇会开,8.0,海棠/湖南文艺出版社/2018-6,单纯的少女珠雨田似乎在一夜之间拥有了人生全部的幸运，然而在这“天降幸运”的背后，藏着怎样的阴谋？《我的朋友陈白露小姐》作者海棠新作。
https://img1.doubanio.com/view/subject/m/public/s29773379.jpg,冰激凌家族,7.5,[荷]恩斯特·凡德奎斯特/江苏凤凰文艺出版社/2018-6-15,塔拉米尼家族已经做了近一百年的冰激凌。手艺一代代传承，但到了卓凡尼一代，出现了危机。卓凡尼酷爱诗歌，有一个文学梦，他想离开。
https://img3.doubanio.com/view/subject/m/public/s29797740.jpg,月亮男孩和音乐机器,评价人数不足,[英]安德鲁·雷伊编绘/后浪丨湖南美术出版社/2018-8,一部极富想象力的漫画作品。来认识一下月亮脑袋•乔伊。和普通的孩子没什么两样，除了一点，他有一个月亮脑袋。
https://img1.doubanio.com/view/subject/m/public/s29809367.jpg,漫游者,评价人数不足,朱天心/理想国|广西师范大学出版社/2018-6,台湾小说家朱天心写于父亲去世前后的五篇小说，外加一篇散文。奇异的地理行旅、岛屿童年记忆交织着梦境跳跃闪回，绵延生者对逝者的爱和怀念。
https://img3.doubanio.com/view/subject/m/public/s29773160.jpg,榛子的味道,,[法]瓦妮妲/后浪丨北京联合出版公司/2018-8,漫画短篇故事集，它试图探索法国都市中一群年轻人的生活和恋爱，风格清淡而惆怅，犹如榛果的滋味。
https://img3.doubanio.com/view/subject/m/public/s29782900.jpg,雪绒花的庆典,评价人数不足,[捷克]博胡米尔·赫拉巴尔/花城出版社/2018-5,二十世纪重要的捷克作家赫拉巴尔代表作之一。一系列情节不连贯的故事或图像串联，将荒谬滑稽的人生百态高度戏剧化。
https://img3.doubanio.com/view/subject/m/public/s29792296.jpg,保加利亚中短篇小说集,评价人数不足,[保加利亚]伊凡·伐佐夫(等)/人民文学出版社/2018-5,收集了保加利亚不同时期、不同风格的十八位经典作家的四十一篇作品，是对保加利亚中短篇小说创作完整过程的真实记录。
https://img1.doubanio.com/view/subject/m/public/s29797128.jpg,故事经济学,8.2,[美]罗伯特·麦基/[美]托马斯·格雷斯/天津人民出版社/2018-6,好莱坞编剧教父罗伯特·麦基引领读者一起分析诸多知名广告活动，为广告营销的困局提出解决方案，构建理想营销故事。
https://img3.doubanio.com/view/subject/m/public/s29809453.jpg,规模,8.8,杰弗里·韦斯特(GeoffreyWest)/中信出版社/2018-6-1,在韦斯特眼中，规模成为衡量世间万物的不变标准，利用规模法则，复杂世界变得可量化、可预测、清晰明了且极度统一。
https://img3.doubanio.com/view/subject/m/public/s29788380.jpg,教宗与墨索里尼,评价人数不足,[美]大卫·I.科泽(DavidI.Kertzer)/理想国|上海三联书店/2018-6,抽丝剥茧，还原墨索里尼与庇护十一世的利益纠葛、尔虞我诈。普利策奖获奖作品。
https://img3.doubanio.com/view/subject/m/public/s29771522.jpg,安德烈·塔可夫斯基：电影的元素,评价人数不足,(美)罗伯特·伯德/南京大学出版社/2018-6,罗伯特•伯德详述了塔可夫斯基的主要电影作品，指出塔可夫斯基的电影是基于对土、火、水、气四种基本元素的检视或颂扬。
https://img1.doubanio.com/view/subject/m/public/s29791958.jpg,山里来信,,舒行/生活•读书•新知三联书店生活书店出版有限公司/2018-7-1,一本有关自然、植物、故乡的绿色之书。作者以明澈平和的文字，写出植物在人的生活中给人的开朗与宁静。
https://img3.doubanio.com/view/subject/m/public/s29787624.jpg,思维的发现,,迈克尔•刘易斯(MichaelLewis)/中信出版社/2018-7-1,人类是非理性的，而有违常理的那些行为是可以被预测的。心理学家丹尼尔•卡尼曼因为相关研究成果获得了2002年诺贝尔经济学奖。
https://img1.doubanio.com/view/subject/m/public/s29787567.jpg,做工的人,8.7,林立青/赖小路(摄影)/中国工人出版社/2018-6-1,建筑工地上的水泥匠、焊接师傅、外劳、女工、以及工地大嫂，围绕工地而生的小吃店、冷饮店、槟榔西施、陪唱的阿姐……人人都有故事。
https://img1.doubanio.com/view/subject/m/public/s29787389.jpg,东欧戏剧史（共七卷）,目前无人评价,杨敏主编/冯志臣/林洪亮/郑恩波/夏镇/陈九瑛/蒋承俊/后浪丨北京联合出版公司/2018-8,我国第一部专门评介东欧各国戏剧发展的著作，是全面系统了解东欧剧变前诸国戏剧文化的珍贵资料，也是间接了解东欧民族传统、社会生活的重要参照。
https://img3.doubanio.com/view/subject/m/public/s29786100.jpg,风·落·之·光,10.0,[挪威]拉斯·穆勒/广西师范大学出版社/2018-6-1,收录1969-2010传奇唱片厂牌ECM全部唱片封套及名录。1200余幅图片，当代设计美学大赏。
https://img3.doubanio.com/view/subject/m/public/s29770700.jpg,乐业,9.5,[日]川村元气/后浪丨四川人民出版社/2018-6,作者探访了宫崎骏、山田洋次、杉本博司、秋元康、谷川俊太郎、坂本龙一等12位日本文艺界重磅人物，看他们如何使工作成为“乐业”。
https://img3.doubanio.com/view/subject/m/public/s29798016.jpg,季风青少年哲学课,,刘擎/蔡文菁/钱立卿/陈勇/武云/施璇/冷欣/高松/广西师范大学出版社/2018-7,本书共分为八讲，主题涉及自我、生命、心灵、爱和科学等，由上海季风书园邀请的八位来自上海高校的哲学教师担任主讲。
https://img1.doubanio.com/view/subject/m/public/s29756368.jpg,高维度思考法,9.0,[日]细谷功/后浪丨中国华侨出版社/2018-6,以伊索寓言中的“蚂蚁和蝈蝈”来做比喻，分析“解决问题型”和“发现问题型”这两种思考方式的不同和特征。
https://img1.doubanio.com/view/subject/m/public/s29803528.jpg,欧洲与没有历史的人,评价人数不足,[美]埃里克·R.沃尔夫/后浪丨民主与建设出版社/2018-8,文化人类学、政治经济学、后殖民和全球化论述诸领域的集大成之作。以欧洲的扩张为主线，展示了期间多个族群的遭遇，指出了人类在相互联系中的发展。
https://img1.doubanio.com/view/subject/m/public/s29738497.jpg,后工业社会的来临,评价人数不足,[美]丹尼尔·贝尔/后浪丨江西人民出版社/2018-6,与托夫勒《第三次浪潮》、奈斯比特《大趋势》并称“未来学三大经典”。美国批判社会学大师丹尼尔·贝尔与卡尔·马克思的一场跨世纪对话。
https://img3.doubanio.com/view/subject/m/public/s29786693.jpg,天生非此,,[英]奥利弗·詹姆斯/OliverJames/后浪丨江西人民出版社/2018-8,为什么我们时常感受到父母的爱，又经常觉得委屈？为什么我们的性情、处世和父母越来越像？为什么父母非得用一种让双方都难受的方式与我们相处？
https://img1.doubanio.com/view/subject/m/public/s29791457.jpg,好莱坞之眼,评价人数不足,[美]乔恩·布尔斯廷/JonBoorstin/后浪丨北京联合出版公司/2018-8,电影究竟是如何吸引口味迥异的观众，并让他们沉浸其中的？本书作者乔恩·布尔斯廷将电影吸引观众的方式归纳为“窥视”“移情”和“本能”三个层面。
https://img3.doubanio.com/view/subject/m/public/s29802236.jpg,未来版图,8.3,麻省理工科技评论/人民邮电出版社/2018-5-1,本书以《麻省理工科技评论》2011—2017年的“全球50大聪明公司”榜单为蓝本，挑选出百余家聪明公司，梳理其技术创新和商业沉浮。
https://img3.doubanio.com/view/subject/m/public/s29775846.jpg,收藏沙子的旅人,9.3,[意]伊塔洛·卡尔维诺/译林出版社/2018-5,卡尔维诺看展、读书、旅行的随笔集。天马行空的想象和独辟蹊径的视角，展现仅属于卡尔维诺的的观看之道。
https://img3.doubanio.com/view/subject/m/public/s29749606.jpg,管理美元,7.5,【日】船桥洋一/中信出版社/2018-5-1,1985年的广场协议是“二战”以来国际货币合作方面最重要的范例，其直接目的是扭转美元汇率大幅上升的局面。中国是广场协议的主要受益者。
https://img3.doubanio.com/view/subject/m/public/s29770666.jpg,英国进步主义思想,9.3,[英]迈克尔·弗里登/三辉图书/商务印书馆/2018-5,本书清晰、详尽地梳理了19世纪以来自由主义思想的流变，以及新型自由主义的出现与发展，是一部叙述英国政治理论发展史的重要著作。
